model_name,accuracy,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,chatgpt_precision,chatgpt_recall,chatgpt_f1-score,human_precision,human_recall,human_f1-score
LogisticRegression,0.9517,0.9516,0.9517,0.9516,0.9494,0.9341,0.9417,0.9532,0.9643,0.9587
GaussianNB,0.7264,0.7258,0.7264,0.726,0.6752,0.6647,0.6699,0.7621,0.7706,0.7663
KNeighborsClassifier,0.8304,0.8565,0.8304,0.8313,0.7306,0.9412,0.8226,0.9468,0.7509,0.8376
DecisionTreeClassifier,0.8728,0.8728,0.8728,0.8728,0.847,0.8488,0.8479,0.8914,0.89,0.8907
SVC,0.9508,0.9507,0.9508,0.9507,0.9454,0.9362,0.9408,0.9546,0.9612,0.9579
RandomForestClassifier,0.9394,0.9394,0.9394,0.9393,0.939,0.9145,0.9266,0.9398,0.9574,0.9485
GradientBoostingClassifier,0.9113,0.9131,0.9113,0.9104,0.9381,0.8432,0.8881,0.8951,0.9601,0.9265
XGBClassifier,0.9461,0.9462,0.9461,0.9459,0.9502,0.9191,0.9344,0.9433,0.9654,0.9542
LGBMClassifier,0.9522,0.9521,0.9522,0.9521,0.9486,0.9362,0.9424,0.9547,0.9636,0.9591
CatBoostClassifier,0.9436,0.9439,0.9436,0.9434,0.954,0.9089,0.9309,0.9368,0.9685,0.9524
