model_name,accuracy,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1-score,chatgpt_precision,chatgpt_recall,chatgpt_f1-score,human_precision,human_recall,human_f1-score
LogisticRegression,0.7948,0.8335,0.7948,0.7921,0.9432,0.6596,0.7763,0.7049,0.9534,0.8105
GaussianNB,0.7083,0.7124,0.7083,0.7028,0.6936,0.8231,0.7528,0.7344,0.5737,0.6442
KNeighborsClassifier,0.8111,0.8119,0.8111,0.8113,0.8353,0.8096,0.8222,0.7845,0.8128,0.7984
DecisionTreeClassifier,0.6557,0.7508,0.6557,0.6327,0.8992,0.4078,0.5611,0.5767,0.9464,0.7167
SVC,0.8065,0.8412,0.8065,0.8044,0.9464,0.6801,0.7914,0.7179,0.9548,0.8196
RandomForestClassifier,0.5567,0.7578,0.5567,0.4772,0.9696,0.1844,0.3099,0.5094,0.9932,0.6734
GradientBoostingClassifier,0.5624,0.7525,0.5624,0.4881,0.957,0.1981,0.3283,0.5127,0.9896,0.6755
XGBClassifier,0.596,0.7667,0.596,0.5404,0.9661,0.2607,0.4106,0.5329,0.9893,0.6927
LGBMClassifier,0.6642,0.7877,0.6642,0.6367,0.965,0.3922,0.5577,0.5797,0.9833,0.7294
CatBoostClassifier,0.5881,0.7672,0.5881,0.5277,0.9713,0.2441,0.3902,0.528,0.9915,0.689
